July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Units are (°C).


TC_time        	TC_0	TC_1	TC_2	TC_3	TC_4	TC_5	TC_6	TC_7	TC_8	TC_9	TC_10	TC_11	TC_12	TC_13	TC_14	TC_15
8195.819921	-33.573	-29.637	-28.100	-22.410	-18.838	-14.153	-8.890	-0.830	5.681	12.671	18.475	28.688	36.502	44.387	52.395	60.252
8195.820919	-13.155	-5.283	-0.023	8.996	15.712	23.204	30.942	41.083	49.439	57.912	64.899	75.802	84.044	92.013	99.761	107.023
8195.821920	29.625	39.824	47.244	57.896	65.970	74.416	82.724	92.985	101.151	109.064	115.167	124.740	131.371	137.399	142.887	147.588
8195.822908	88.256	98.430	105.509	115.309	122.205	129.068	135.412	143.302	148.783	153.677	156.462	162.386	165.125	167.021	168.163	168.336
8195.823904	141.785	149.074	152.962	159.198	162.254	164.986	166.943	170.209	170.884	170.812	168.509	169.249	166.761	163.416	159.341	154.362
8195.824900	167.589	170.133	169.136	170.361	168.331	165.932	162.750	160.910	156.545	151.537	144.431	140.558	133.650	126.120	118.123	109.506
8195.825901	158.003	155.513	149.583	146.028	139.382	132.576	125.223	119.499	111.526	103.226	93.139	86.711	77.578	68.206	58.768	49.114
8195.826897	115.805	109.719	100.479	94.006	84.763	75.745	66.573	59.500	50.548	41.699	31.442	25.450	17.101	8.962	1.211	-6.305
8195.827895	55.573	48.621	38.851	32.407	23.543	15.371	7.499	2.288	-4.421	-10.643	-17.937	-20.286	-24.733	-28.584	-31.687	-34.247
8195.828895	1.425	-3.361	-10.748	-14.229	-19.872	-24.400	-28.261	-29.014	-31.072	-32.307	-34.412	-31.323	-30.272	-28.562	-26.093	-23.123
8195.829891	-32.216	-32.042	-34.249	-32.201	-32.202	-30.953	-28.965	-23.870	-20.131	-15.674	-12.206	-3.902	2.112	8.496	15.291	22.219
8195.830887	-25.635	-19.469	-15.763	-8.068	-2.624	3.719	10.489	19.869	27.596	35.609	42.280	53.095	61.374	69.541	77.645	85.417
8195.831891	12.962	22.580	29.511	39.855	47.719	56.094	64.464	74.936	83.421	91.778	98.434	108.702	116.123	123.048	129.534	135.328
8195.832891	68.860	79.355	86.861	97.241	104.825	112.498	119.767	128.701	135.321	141.449	145.553	152.880	157.088	160.510	163.225	165.008
8195.833879	126.890	135.379	140.555	148.174	152.685	156.944	160.485	165.384	167.725	169.342	168.740	171.180	170.376	168.689	166.236	162.827
8195.834871	163.262	167.373	167.962	170.783	170.344	169.523	167.892	167.564	164.665	161.063	155.298	152.681	146.949	140.501	133.486	125.747
8195.835871	164.571	163.491	158.917	156.646	151.212	145.534	139.219	134.426	127.286	119.710	110.244	104.291	95.528	86.404	77.087	67.426
8195.836869	132.782	127.637	119.230	113.437	104.759	96.166	87.276	80.313	71.345	62.330	51.777	45.274	36.300	27.385	18.706	10.110
8195.837867	73.280	66.254	56.316	49.533	40.232	31.489	22.915	16.842	9.158	1.905	-6.481	-10.174	-16.039	-21.391	-26.064	-30.252
8195.838865	14.063	8.427	0.194	-4.269	-11.005	-16.739	-21.877	-23.985	-27.435	-30.100	-33.659	-32.038	-32.445	-32.171	-31.102	-29.484
8195.839863	-28.236	-29.242	-32.645	-31.819	-33.043	-33.008	-32.212	-28.262	-25.635	-22.237	-19.779	-12.354	-7.105	-1.460	4.657	11.009
8195.840870	-30.630	-25.601	-22.996	-16.305	-11.774	-6.210	-0.204	8.531	15.690	23.233	29.516	40.082	48.184	56.270	64.390	72.272
8195.841856	7.581	16.933	23.631	33.802	41.528	49.814	58.141	68.625	77.158	85.607	92.395	102.846	110.486	117.668	124.449	130.574
8195.842853	66.962	77.472	85.003	95.425	103.060	110.797	118.143	127.165	133.883	140.119	144.340	151.794	156.136	159.698	162.560	164.495
8195.843850	126.384	134.906	140.119	147.778	152.332	156.635	160.224	165.172	167.565	169.234	168.684	171.177	170.426	168.792	166.391	163.034
8195.844846	163.262	167.373	167.962	170.783	170.344	169.523	167.892	167.564	164.665	161.063	155.298	152.681	146.949	140.501	133.486	125.747
8195.845844	164.571	163.491	158.917	156.646	151.212	145.534	139.219	134.426	127.286	119.710	110.244	104.291	95.528	86.404	77.087	67.426
8195.846841	129.387	124.019	115.410	109.446	100.621	91.910	82.932	75.916	66.922	57.912	47.391	40.966	32.093	23.313	14.801	6.402
8195.847841	70.756	63.724	53.794	47.043	37.789	29.111	20.621	14.656	7.093	-0.020	-8.268	-11.785	-17.460	-22.607	-27.064	-31.026
8195.848849	23.141	17.057	8.326	3.252	-4.054	-10.484	-16.403	-19.355	-23.681	-27.260	-31.757	-31.109	-32.492	-33.196	-33.094	-32.424
8195.849842	-21.343	-23.685	-28.455	-29.059	-31.730	-33.161	-33.830	-31.319	-30.102	-28.070	-26.933	-20.731	-16.638	-12.015	-6.797	-1.299
8195.850835	-34.090	-30.450	-29.204	-23.788	-20.482	-16.047	-11.013	-3.126	3.189	10.014	15.671	25.772	33.489	41.301	49.260	57.090
8195.851834	-4.814	3.716	9.681	19.276	26.508	34.423	42.496	52.864	61.375	69.915	76.894	87.675	95.730	103.431	110.829	117.666
8195.852829	51.792	62.319	69.949	80.600	88.548	96.702	104.563	114.204	121.622	128.644	133.728	142.130	147.481	152.117	156.106	159.215
8195.853825	112.476	121.785	127.865	136.486	142.075	147.488	152.251	158.434	162.107	165.097	165.898	169.762	170.393	170.141	169.112	167.108
8195.854820	156.865	162.270	164.189	168.368	169.304	169.866	169.615	170.655	169.100	166.812	162.320	160.921	156.350	150.997	145.004	138.206
8195.855820	167.500	167.552	164.081	162.872	158.460	153.750	148.345	144.392	138.028	131.151	122.310	116.883	108.570	99.806	90.757	81.272
8195.856815	140.934	136.420	128.589	123.298	115.061	106.836	98.242	91.487	82.659	73.703	63.140	56.514	47.354	38.171	29.140	20.110
8195.857813	86.406	79.494	69.598	62.734	53.279	44.280	35.354	28.807	20.571	12.671	3.555	-0.951	-7.682	-14.039	-19.792	-25.117
8195.858811	24.307	18.172	9.385	4.243	-3.137	-9.644	-15.654	-18.707	-23.139	-26.830	-31.443	-30.914	-32.418	-33.245	-33.265	-32.716
8195.859820	-23.582	-25.545	-29.926	-30.120	-32.374	-33.379	-33.619	-30.683	-29.048	-26.609	-25.076	-18.504	-14.056	-9.105	-3.603	2.137
8195.860802	-33.573	-29.637	-28.100	-22.410	-18.838	-14.153	-8.890	-0.830	5.681	12.671	18.475	28.688	36.502	44.387	52.395	60.252
8195.861811	-1.983	6.758	12.917	22.670	30.040	38.064	46.216	56.631	65.166	73.703	80.654	91.374	99.346	106.939	114.206	120.887
8195.862798	54.311	64.849	72.475	83.101	91.008	99.105	106.892	116.441	123.752	130.654	135.603	143.856	149.048	153.511	157.319	160.237
8195.863800	115.254	124.426	130.352	138.800	144.202	149.412	153.958	159.911	163.345	166.086	166.631	170.234	170.601	170.083	168.788	166.520
