July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Counter data is in units of (Counts). Voltage data is in units of (V).


VI_time      	ctr0	VI_0	VI_1	VI_2	VI_3	VI_4	VI_5	VI_6	VI_7	VI_8	VI_9	VI_10	VI_11	VI_12	VI_13	VI_14	VI_15	VI_16	VI_17	VI_18	VI_19	VI_20	VI_21	VI_22	VI_23	VI_24	VI_25	VI_26	VI_27	VI_28	VI_29	VI_30	VI_31
8195.795709	0.000	3.193	2.556	1.619	0.965	0.052	-0.824	-1.702	-2.365	-3.195	-4.001	-4.924	-5.433	-6.151	-6.835	-7.472	-8.075	-8.509	-8.820	-9.211	-9.462	-9.401	-9.677	-9.814	-9.814	-9.704	-9.413	-9.115	-8.781	-8.383	-7.929	-7.548	-6.829
8195.796707	0.000	-2.797	-3.431	-4.320	-4.880	-5.654	-6.349	-7.003	-7.402	-7.930	-8.396	-8.948	-9.055	-9.342	-9.572	-9.733	-9.844	-9.772	-9.567	-9.437	-9.165	-8.583	-8.345	-7.977	-7.487	-6.905	-6.162	-5.437	-4.705	-3.939	-3.151	-2.473	-1.495
8195.797702	0.000	-7.776	-8.101	-8.644	-8.826	-9.191	-9.451	-9.646	-9.566	-9.598	-9.557	-9.591	-9.176	-8.940	-8.651	-8.299	-7.908	-7.349	-6.676	-6.099	-5.406	-4.431	-3.831	-3.137	-2.357	-1.524	-0.571	0.321	1.176	2.021	2.842	3.508	4.428
8195.798700	0.000	-9.840	-9.671	-9.709	-9.378	-9.226	-8.969	-8.650	-8.064	-7.601	-7.080	-6.653	-5.800	-5.151	-4.478	-3.774	-3.065	-2.225	-1.310	-0.532	0.319	1.409	2.080	2.799	3.560	4.328	5.172	5.912	6.572	7.180	7.725	8.079	8.651
8195.799699	0.000	-8.499	-7.868	-7.457	-6.694	-6.131	-5.486	-4.807	-3.888	-3.125	-2.338	-1.682	-0.636	0.164	0.950	1.725	2.463	3.290	4.150	4.832	5.546	6.459	6.914	7.381	7.855	8.303	8.797	9.158	9.416	9.600	9.703	9.599	9.702
8195.800697	0.000	-4.113	-3.158	-2.458	-1.445	-0.671	0.143	0.949	1.949	2.751	3.531	4.136	5.086	5.748	6.352	6.904	7.380	7.908	8.433	8.747	9.064	9.553	9.561	9.560	9.550	9.501	9.489	9.339	9.084	8.757	8.357	7.759	7.383
8195.801691	0.000	1.668	2.660	3.352	4.314	4.992	5.668	6.293	7.073	7.614	8.096	8.369	8.955	9.223	9.407	9.516	9.528	9.576	9.610	9.422	9.233	9.214	8.717	8.217	7.718	7.195	6.726	6.140	5.473	4.763	4.008	3.090	2.428
8195.802688	0.000	6.879	7.604	7.991	8.612	8.917	9.189	9.384	9.711	9.778	9.771	9.541	9.615	9.366	9.032	8.626	8.130	7.680	7.231	6.578	5.946	5.509	4.621	3.763	2.939	2.127	1.407	0.612	-0.222	-1.057	-1.892	-2.845	-3.496
8195.803685	0.000	9.495	9.717	9.585	9.676	9.442	9.172	8.824	8.612	8.150	7.625	6.894	6.487	5.781	5.017	4.211	3.349	2.571	1.830	0.928	0.089	-0.510	-1.513	-2.441	-3.287	-4.074	-4.721	-5.398	-6.067	-6.693	-7.275	-7.935	-8.255
8195.804686	0.000	8.230	7.941	7.312	6.922	6.229	5.524	4.770	4.181	3.376	2.545	1.546	0.912	0.022	-0.882	-1.783	-2.695	-3.478	-4.177	-4.991	-5.697	-6.119	-6.904	-7.571	-8.117	-8.568	-8.845	-9.119	-9.358	-9.529	-9.634	-9.800	-9.610
